fid,extensao,consorcio,descricao_desvio,tipo_rota,direcao,destino,servico
395,9618,Internorte,,regular,0,Terminal Fundão,922
396,10577,Internorte,,regular,1,Tubiacanga,922
397,17374,Internorte,,regular,0,Bancários,925
398,19502,Internorte,,regular,1,Aeroporto Internacional,925
399,5900,Transcarioca,,regular,0,Cidade de Deus,953
400,5305,Transcarioca,,regular,1,Terminal Tanque,953
401,26728,Internorte,,regular,0,Irajá,910
402,19071,Intersul,,regular,0,Caju,209
403,19135,Santa Cruz,,regular,0,Taquara,803
404,9386,Intersul,,regular,0,Terminal Gentileza,133
405,39596,Transcarioca,,regular,1,Riocentro,348
406,31278,Transcarioca,,regular,1,Terminal Alvorada,552
407,28024,Transcarioca,,regular,1,Terminal Tanque,SN565
408,24390,Internorte,,regular,0,Copacabana [via Praia do Flamengo],455
409,53058,Santa Cruz,,regular,0,Candelária,397
410,54197,Santa Cruz,,frescao,1,Campo Grande,2336
411,27890,Internorte,,frescao,1,Bananal,2342
412,18529,Santa Cruz,,regular,1,Padre Miguel,791
413,15211,MOBI-Rio,,brt,0,Manacéia-Madureira,42
414,13758,Transcarioca,,regular,0,Madureira,SP766
415,26151,Transcarioca,,regular,1,Terminal Tanque,SN878
416,24381,Intersul,,regular,0,Circular,584
417,19669,Transcarioca,,regular,0,Curicica,SN861
418,35315,Transcarioca,,regular,0,Terminal Alvorada,302
419,16436,MOBI-Rio,,brt,1,Campo Grande,17
420,20658,Transcarioca,,regular,1,Terminal Taquara,SP810
421,34984,Internorte,,regular,0,Castelo,362
422,13032,Santa Cruz,,regular,0,Circular,SN821
423,3951,Intersul,,regular,0,Saens Peña,603
424,22455,Santa Cruz,,regular,1,Capoeira Grande,856
425,10621,Transcarioca,,regular,0,Terminal Alvorada,SV863
426,32927,Internorte,,regular,0,Saens Peña,639
427,12454,Intersul,,regular,0,Metrô Jardim de Alah,585
428,28829,MOBI-Rio,,brt,1,Penha,46
429,24741,Santa Cruz,,regular,0,Terminal Campo Grande,884
430,37325,Internorte,,regular,1,Bananal,SN328
431,7503,Santa Cruz,,regular,0,Terminal Campo Grande,846
432,35397,Intersul,,frescao,0,Aeroporto Internacional,2024
433,17000,Transcarioca,,regular,1,Madureira,766
434,39327,Internorte,,regular,0,Candelária,386
435,29207,Transcarioca,,regular,0,Circular,987
436,30297,Internorte,,regular,0,General Osório,483
437,31862,Internorte,,regular,1,Bancários,492
438,18490,Santa Cruz,,regular,0,Santa Cruz,SN885
439,27098,Internorte,,regular,1,Ribeira,327
440,42918,Internorte,,regular,1,Mariópolis,SV624
441,34718,Internorte,,regular,1,Bananal,635
442,24985,Santa Cruz,,regular,1,Campo Grande,796
443,23983,Transcarioca,,regular,0,Metrô Del Castilho,SPA613
444,8863,Intersul,,regular,0,Castelo,202
445,35252,Santa Cruz,,regular,1,Campo Grande,790
446,11796,Internorte,,regular,1,Vila Cruzeiro,721
447,11270,Intersul,,regular,0,Central,SN007
448,32689,Internorte,,regular,1,Penha [via P. Flamengo/P. Vargas],483
449,14722,MOBI-Rio,,frescao,1,Galeão,ESP01
450,21683,Santa Cruz,,regular,1,Jabour,803
451,19136,Santa Cruz,,regular,0,Taquara,SN803
452,34026,Internorte,,regular,0,Saens Peña,SVB665
453,25980,Intersul,,regular,1,Grajaú,435
454,32117,Transcarioca,,regular,1,Gardênia Azul,353
455,57585,Transcarioca,,regular,0,Rio Sul,554
456,29964,Santa Cruz,,regular,0,Marechal Hermes,731
457,18121,Transcarioca,,regular,0,Freguesia,766
458,31094,Internorte,,regular,1,Penha,483
459,21696,Santa Cruz,,regular,0,Campo Grande,840
460,30116,Internorte,,regular,0,Saens Peña,SN629
461,23863,MOBI-Rio,,brt,1,Terminal Aroldo Melodia,43
462,30967,Transcarioca,,regular,0,Copacabana,557
463,28415,Santa Cruz,,regular,1,Campo Grande,731
464,41064,Internorte,,regular,0,Passeio,SR384
465,36040,Santa Cruz,,regular,0,Terminal Deodoro,SV853
466,32375,Internorte,,regular,0,Penha [via P. do Flamengo],SV483
467,50481,Santa Cruz,,regular,1,Terminal Campo Grande,397
468,15708,Intersul,,regular,0,Leme,539
469,25606,Intersul,,regular,1,Grajaú [reversível],435
470,29599,Transcarioca,,regular,1,Santa Maria,601
471,35952,Transcarioca,,regular,0,Central,309
472,10745,Santa Cruz,,regular,1,Pedregoso,830
473,6286,MOBI-Rio,,brt,1,Terminal Alvorada,22
474,29087,Internorte,,frescao,1,Jardim América,2305
475,23996,MOBI-Rio,,brt,0,Terminal Recreio,51
476,16566,Intersul,,regular,1,Terminal Gentileza,167
477,25582,Intersul,,regular,1,São Conrado [reversível],104
478,26896,Internorte,,regular,0,Méier,SV669
479,21239,Transcarioca,,regular,0,Barra da Tijuca,SV878
480,14186,Intersul,,regular,1,Candelária,209
481,20856,Santa Cruz,,regular,0,Terminal Pingo D'Água,SV866
482,23378,Internorte,,regular,1,Irajá,SVB685
483,16174,Intersul,,regular,1,Terminal Gentileza,110
484,33625,Internorte,,regular,0,Candelária,SN328
485,15445,Intersul,,regular,0,Circular,518
486,15261,Transcarioca,,regular,0,Downtown,900
487,22566,Santa Cruz,,regular,0,Terminal Deodoro,765
488,19075,Internorte,,regular,0,Candelária,312
489,30659,Transcarioca,,regular,0,Candelária,338
490,11040,Transcarioca,,regular,0,Passarela da Barra,SP805
491,31616,Santa Cruz,,regular,1,Senador Camará,926
492,36245,Santa Cruz,,regular,1,Campo Grande,SV790
493,26528,Internorte,,frescao,1,Ribeira,2343
494,22324,Internorte,,regular,1,Pavuna,687
495,23980,MOBI-Rio,,brt,1,Campo Grande,67
496,39786,Santa Cruz,,regular,1,Padre Miguel,SV391
497,8415,Intersul,,regular,0,Central,007
498,21654,Internorte,,regular,0,Terminal Madureira,SV779
499,39468,MOBI-Rio,,brt,0,Terminal Alvorada,10
